,attack,model,dataset,balance,best_eps
164,InvertColor,vgg,google,20_80,1.0
165,InvertColor,vgg,google,30_70,1.0
166,InvertColor,vgg,google,40_60,1.0
167,InvertColor,vgg,google,50_50,1.0
168,PGD,alexnet,bing,20_80,0.2
169,PGD,alexnet,bing,30_70,0.18
170,PGD,alexnet,bing,40_60,0.23
171,PGD,alexnet,bing,50_50,0.23
172,PGD,resnet,bing,20_80,0.18
173,PGD,resnet,bing,30_70,0.16
174,PGD,resnet,bing,40_60,0.13
175,PGD,resnet,bing,50_50,0.23
176,PGD,vgg,bing,20_80,0.1
177,PGD,vgg,bing,30_70,0.06
178,PGD,vgg,bing,40_60,0.08
179,PGD,vgg,bing,50_50,0.06
180,PGD,alexnet,google,20_80,0.13
181,PGD,alexnet,google,30_70,0.15
182,PGD,alexnet,google,40_60,0.16
183,PGD,alexnet,google,50_50,0.2
184,PGD,resnet,google,20_80,0.21
185,PGD,resnet,google,30_70,0.21
186,PGD,resnet,google,40_60,0.19
187,PGD,resnet,google,50_50,0.08
188,PGD,vgg,google,20_80,0.06
189,PGD,vgg,google,30_70,0.06
190,PGD,vgg,google,40_60,0.04
191,PGD,vgg,google,50_50,0.06
192,RandomBlackBox,alexnet,bing,20_80,200.0
193,RandomBlackBox,alexnet,bing,30_70,190.0
194,RandomBlackBox,alexnet,bing,40_60,190.0
195,RandomBlackBox,alexnet,bing,50_50,190.0
196,RandomBlackBox,resnet,bing,20_80,190.0
197,RandomBlackBox,resnet,bing,30_70,200.0
198,RandomBlackBox,resnet,bing,40_60,200.0
199,RandomBlackBox,resnet,bing,50_50,200.0
200,RandomBlackBox,vgg,bing,20_80,200.0
201,RandomBlackBox,vgg,bing,30_70,200.0
202,RandomBlackBox,vgg,bing,40_60,200.0
203,RandomBlackBox,vgg,bing,50_50,190.0
204,RandomBlackBox,alexnet,google,20_80,180.0
205,RandomBlackBox,alexnet,google,30_70,200.0
206,RandomBlackBox,alexnet,google,40_60,200.0
207,RandomBlackBox,alexnet,google,50_50,190.0
208,RandomBlackBox,resnet,google,20_80,200.0
209,RandomBlackBox,resnet,google,30_70,200.0
210,RandomBlackBox,resnet,google,40_60,200.0
211,RandomBlackBox,resnet,google,50_50,200.0
212,RandomBlackBox,vgg,google,20_80,200.0
213,RandomBlackBox,vgg,google,30_70,200.0
214,RandomBlackBox,vgg,google,40_60,190.0
215,RandomBlackBox,vgg,google,50_50,200.0
216,RFGSM,alexnet,bing,20_80,0.27
217,RFGSM,alexnet,bing,30_70,0.16
218,RFGSM,alexnet,bing,40_60,0.22
219,RFGSM,alexnet,bing,50_50,0.16
220,RFGSM,resnet,bing,20_80,0.3
221,RFGSM,resnet,bing,30_70,0.07
222,RFGSM,resnet,bing,40_60,0.3
223,RFGSM,resnet,bing,50_50,0.3
224,RFGSM,vgg,bing,20_80,0.23
225,RFGSM,vgg,bing,30_70,0.23
226,RFGSM,vgg,bing,40_60,0.19
227,RFGSM,vgg,bing,50_50,0.15
228,RFGSM,alexnet,google,20_80,0.22
229,RFGSM,alexnet,google,30_70,0.29
230,RFGSM,alexnet,google,40_60,0.09
231,RFGSM,alexnet,google,50_50,0.29
232,RFGSM,resnet,google,20_80,0.3
233,RFGSM,resnet,google,30_70,0.3
234,RFGSM,resnet,google,40_60,0.08
235,RFGSM,resnet,google,50_50,0.3
236,RFGSM,vgg,google,20_80,0.29
237,RFGSM,vgg,google,30_70,0.29
238,RFGSM,vgg,google,40_60,0.16
239,RFGSM,vgg,google,50_50,0.3
240,SaltPepper,alexnet,bing,20_80,0.05
241,SaltPepper,alexnet,bing,30_70,0.045
242,SaltPepper,alexnet,bing,40_60,0.045
243,SaltPepper,alexnet,bing,50_50,0.05
244,SaltPepper,resnet,bing,20_80,0.01
245,SaltPepper,resnet,bing,30_70,0.05
246,SaltPepper,resnet,bing,40_60,0.05
247,SaltPepper,resnet,bing,50_50,0.045
248,SaltPepper,vgg,bing,20_80,0.05
249,SaltPepper,vgg,bing,30_70,0.04
250,SaltPepper,vgg,bing,40_60,0.05
251,SaltPepper,vgg,bing,50_50,0.05
252,SaltPepper,alexnet,google,20_80,0.035
253,SaltPepper,alexnet,google,30_70,0.035
254,SaltPepper,alexnet,google,40_60,0.035
255,SaltPepper,alexnet,google,50_50,0.035
256,SaltPepper,resnet,google,20_80,0.015
257,SaltPepper,resnet,google,30_70,0.02
258,SaltPepper,resnet,google,40_60,0.035
259,SaltPepper,resnet,google,50_50,0.035
260,SaltPepper,vgg,google,20_80,0.035
261,SaltPepper,vgg,google,30_70,0.035
262,SaltPepper,vgg,google,40_60,0.035
263,SaltPepper,vgg,google,50_50,0.035
264,SplitMergeRGB,alexnet,bing,20_80,1.0
265,SplitMergeRGB,alexnet,bing,30_70,1.0
266,SplitMergeRGB,alexnet,bing,40_60,1.0
267,SplitMergeRGB,alexnet,bing,50_50,1.0
268,SplitMergeRGB,resnet,bing,20_80,1.0
269,SplitMergeRGB,resnet,bing,30_70,1.0
270,SplitMergeRGB,resnet,bing,40_60,1.0
271,SplitMergeRGB,resnet,bing,50_50,1.0
272,SplitMergeRGB,vgg,bing,20_80,1.0
273,SplitMergeRGB,vgg,bing,30_70,1.0
274,SplitMergeRGB,vgg,bing,40_60,1.0
275,SplitMergeRGB,vgg,bing,50_50,1.0
276,SplitMergeRGB,alexnet,google,20_80,1.0
277,SplitMergeRGB,alexnet,google,30_70,1.0
278,SplitMergeRGB,alexnet,google,40_60,1.0
279,SplitMergeRGB,alexnet,google,50_50,1.0
280,SplitMergeRGB,resnet,google,20_80,1.0
281,SplitMergeRGB,resnet,google,30_70,1.0
282,SplitMergeRGB,resnet,google,40_60,1.0
283,SplitMergeRGB,resnet,google,50_50,1.0
284,SplitMergeRGB,vgg,google,20_80,1.0
285,SplitMergeRGB,vgg,google,30_70,1.0
286,SplitMergeRGB,vgg,google,40_60,1.0
287,SplitMergeRGB,vgg,google,50_50,1.0
288,Square,alexnet,bing,20_80,0.2
289,Square,alexnet,bing,30_70,0.2
290,Square,alexnet,bing,40_60,0.3
291,Square,alexnet,bing,50_50,0.2
292,Square,resnet,bing,20_80,0.2
293,Square,resnet,bing,30_70,0.2
294,Square,resnet,bing,40_60,0.2
295,Square,resnet,bing,50_50,0.2
296,Square,vgg,bing,20_80,0.3
297,Square,vgg,bing,30_70,0.2
298,Square,vgg,bing,40_60,0.25
299,Square,vgg,bing,50_50,0.25
300,Square,alexnet,google,20_80,0.2
301,Square,alexnet,google,30_70,0.25
302,Square,alexnet,google,40_60,0.2
303,Square,alexnet,google,50_50,0.15
304,Square,resnet,google,20_80,0.25
305,Square,resnet,google,30_70,0.25
306,Square,resnet,google,40_60,0.15
307,Square,resnet,google,50_50,0.15
308,Square,vgg,google,20_80,0.3
309,Square,vgg,google,30_70,0.2
310,Square,vgg,google,40_60,0.15
311,Square,vgg,google,50_50,0.15
312,TIFGSM,alexnet,bing,20_80,0.2
313,TIFGSM,alexnet,bing,30_70,0.2
314,TIFGSM,alexnet,bing,40_60,0.24
315,TIFGSM,alexnet,bing,50_50,0.29
316,TIFGSM,resnet,bing,20_80,0.3
317,TIFGSM,resnet,bing,30_70,0.3
318,TIFGSM,resnet,bing,40_60,0.3
319,TIFGSM,resnet,bing,50_50,0.3
320,TIFGSM,vgg,bing,20_80,0.3
321,TIFGSM,vgg,bing,30_70,0.3
322,TIFGSM,vgg,bing,40_60,0.3
323,TIFGSM,vgg,bing,50_50,0.3
324,TIFGSM,alexnet,google,20_80,0.19
325,TIFGSM,alexnet,google,30_70,0.22
326,TIFGSM,alexnet,google,40_60,0.18
327,TIFGSM,alexnet,google,50_50,0.29
328,TIFGSM,resnet,google,20_80,0.07
329,TIFGSM,resnet,google,30_70,0.07
330,TIFGSM,resnet,google,40_60,0.3
331,TIFGSM,resnet,google,50_50,0.06
332,TIFGSM,vgg,google,20_80,0.28
333,TIFGSM,vgg,google,30_70,0.3
334,TIFGSM,vgg,google,40_60,0.27
335,TIFGSM,vgg,google,50_50,0.3
