,dataset,model,inter,intra0,intra1
0,bing,alexnet,0.152,0.15,0.151
1,google,alexnet,0.136,0.135,0.136
2,bing,resnet,0.051,0.041,0.048
3,google,resnet,0.051,0.042,0.048
4,bing,vgg,0.015,0.016,0.015
5,google,vgg,0.014,0.014,0.013
