,attack,model,dataset,balance,best_eps
121,GreyScale,alexnet,bing,30_70,0.03
122,GreyScale,alexnet,bing,40_60,0.03
123,GreyScale,alexnet,bing,50_50,0.03
124,GreyScale,resnet,bing,20_80,0.03
125,GreyScale,resnet,bing,30_70,0.03
126,GreyScale,resnet,bing,40_60,0.03
127,GreyScale,resnet,bing,50_50,0.03
128,GreyScale,vgg,bing,20_80,0.03
129,GreyScale,vgg,bing,30_70,0.03
130,GreyScale,vgg,bing,40_60,0.03
131,GreyScale,vgg,bing,50_50,0.03
132,GreyScale,alexnet,google,20_80,0.03
133,GreyScale,alexnet,google,30_70,0.03
134,GreyScale,alexnet,google,40_60,0.03
135,GreyScale,alexnet,google,50_50,0.03
136,GreyScale,resnet,google,20_80,0.03
137,GreyScale,resnet,google,30_70,0.03
138,GreyScale,resnet,google,40_60,0.03
139,GreyScale,resnet,google,50_50,0.03
140,GreyScale,vgg,google,20_80,0.03
141,GreyScale,vgg,google,30_70,0.03
142,GreyScale,vgg,google,40_60,0.03
143,GreyScale,vgg,google,50_50,0.03
144,InvertColor,alexnet,bing,20_80,0.03
145,InvertColor,alexnet,bing,30_70,0.03
146,InvertColor,alexnet,bing,40_60,0.03
147,InvertColor,alexnet,bing,50_50,0.03
148,InvertColor,resnet,bing,20_80,0.03
149,InvertColor,resnet,bing,30_70,0.03
150,InvertColor,resnet,bing,40_60,0.03
151,InvertColor,resnet,bing,50_50,0.03
152,InvertColor,vgg,bing,20_80,0.03
153,InvertColor,vgg,bing,30_70,0.03
154,InvertColor,vgg,bing,40_60,0.03
155,InvertColor,vgg,bing,50_50,0.03
156,InvertColor,alexnet,google,20_80,0.03
157,InvertColor,alexnet,google,30_70,0.03
158,InvertColor,alexnet,google,40_60,0.03
159,InvertColor,alexnet,google,50_50,0.03
160,InvertColor,resnet,google,20_80,0.03
161,InvertColor,resnet,google,30_70,0.03
162,InvertColor,resnet,google,40_60,0.03
163,InvertColor,resnet,google,50_50,0.03
164,InvertColor,vgg,google,20_80,0.03
165,InvertColor,vgg,google,30_70,0.03
166,InvertColor,vgg,google,40_60,0.03
167,InvertColor,vgg,google,50_50,0.03
168,PGD,alexnet,bing,20_80,0.3
169,PGD,alexnet,bing,30_70,0.29
170,PGD,alexnet,bing,40_60,0.3
171,PGD,alexnet,bing,50_50,0.3
172,PGD,resnet,bing,20_80,0.3
173,PGD,resnet,bing,30_70,0.28
174,PGD,resnet,bing,40_60,0.3
175,PGD,resnet,bing,50_50,0.3
176,PGD,vgg,bing,20_80,0.3
177,PGD,vgg,bing,30_70,0.29
178,PGD,vgg,bing,40_60,0.3
179,PGD,vgg,bing,50_50,0.29
180,PGD,alexnet,google,20_80,0.3
181,PGD,alexnet,google,30_70,0.3
182,PGD,alexnet,google,40_60,0.3
183,PGD,alexnet,google,50_50,0.3
184,PGD,resnet,google,20_80,0.3
185,PGD,resnet,google,30_70,0.28
186,PGD,resnet,google,40_60,0.3
187,PGD,resnet,google,50_50,0.3
188,PGD,vgg,google,20_80,0.29
189,PGD,vgg,google,30_70,0.3
190,PGD,vgg,google,40_60,0.3
191,PGD,vgg,google,50_50,0.3
192,RandomBlackBox,alexnet,bing,20_80,200.0
193,RandomBlackBox,alexnet,bing,30_70,200.0
194,RandomBlackBox,alexnet,bing,40_60,200.0
195,RandomBlackBox,alexnet,bing,50_50,200.0
196,RandomBlackBox,resnet,bing,20_80,200.0
197,RandomBlackBox,resnet,bing,30_70,200.0
198,RandomBlackBox,resnet,bing,40_60,200.0
199,RandomBlackBox,resnet,bing,50_50,200.0
200,RandomBlackBox,vgg,bing,20_80,200.0
201,RandomBlackBox,vgg,bing,30_70,200.0
202,RandomBlackBox,vgg,bing,40_60,200.0
203,RandomBlackBox,vgg,bing,50_50,200.0
204,RandomBlackBox,alexnet,google,20_80,190.0
205,RandomBlackBox,alexnet,google,30_70,200.0
206,RandomBlackBox,alexnet,google,40_60,200.0
207,RandomBlackBox,alexnet,google,50_50,200.0
208,RandomBlackBox,resnet,google,20_80,200.0
209,RandomBlackBox,resnet,google,30_70,200.0
210,RandomBlackBox,resnet,google,40_60,200.0
211,RandomBlackBox,resnet,google,50_50,200.0
212,RandomBlackBox,vgg,google,20_80,200.0
213,RandomBlackBox,vgg,google,30_70,200.0
214,RandomBlackBox,vgg,google,40_60,200.0
215,RandomBlackBox,vgg,google,50_50,200.0
216,RFGSM,alexnet,bing,20_80,0.09
217,RFGSM,alexnet,bing,30_70,0.29
218,RFGSM,alexnet,bing,40_60,0.25
219,RFGSM,alexnet,bing,50_50,0.11
220,RFGSM,resnet,bing,20_80,0.24
221,RFGSM,resnet,bing,30_70,0.08
222,RFGSM,resnet,bing,40_60,0.09
223,RFGSM,resnet,bing,50_50,0.25
224,RFGSM,vgg,bing,20_80,0.25
225,RFGSM,vgg,bing,30_70,0.11
226,RFGSM,vgg,bing,40_60,0.1
227,RFGSM,vgg,bing,50_50,0.13
228,RFGSM,alexnet,google,20_80,0.16
229,RFGSM,alexnet,google,30_70,0.25
230,RFGSM,alexnet,google,40_60,0.16
231,RFGSM,alexnet,google,50_50,0.15
232,RFGSM,resnet,google,20_80,0.14
233,RFGSM,resnet,google,30_70,0.15
234,RFGSM,resnet,google,40_60,0.2
235,RFGSM,resnet,google,50_50,0.13
236,RFGSM,vgg,google,20_80,0.12
237,RFGSM,vgg,google,30_70,0.19
238,RFGSM,vgg,google,40_60,0.09
239,RFGSM,vgg,google,50_50,0.09
240,SaltPepper,alexnet,bing,20_80,0.09
241,SaltPepper,alexnet,bing,30_70,0.1
242,SaltPepper,alexnet,bing,40_60,0.095
243,SaltPepper,alexnet,bing,50_50,0.095
244,SaltPepper,resnet,bing,20_80,0.075
245,SaltPepper,resnet,bing,30_70,0.1
246,SaltPepper,resnet,bing,40_60,0.09
247,SaltPepper,resnet,bing,50_50,0.1
248,SaltPepper,vgg,bing,20_80,0.095
249,SaltPepper,vgg,bing,30_70,0.095
250,SaltPepper,vgg,bing,40_60,0.09
251,SaltPepper,vgg,bing,50_50,0.1
252,SaltPepper,alexnet,google,20_80,0.025
253,SaltPepper,alexnet,google,30_70,0.09
254,SaltPepper,alexnet,google,40_60,0.085
255,SaltPepper,alexnet,google,50_50,0.09
256,SaltPepper,resnet,google,20_80,0.08
257,SaltPepper,resnet,google,30_70,0.09
258,SaltPepper,resnet,google,40_60,0.085
259,SaltPepper,resnet,google,50_50,0.085
260,SaltPepper,vgg,google,20_80,0.08
261,SaltPepper,vgg,google,30_70,0.085
262,SaltPepper,vgg,google,40_60,0.085
263,SaltPepper,vgg,google,50_50,0.085
264,SplitMergeRGB,alexnet,bing,20_80,0.085
265,SplitMergeRGB,alexnet,bing,30_70,0.085
266,SplitMergeRGB,alexnet,bing,40_60,0.085
267,SplitMergeRGB,alexnet,bing,50_50,0.085
268,SplitMergeRGB,resnet,bing,20_80,0.085
269,SplitMergeRGB,resnet,bing,30_70,0.085
270,SplitMergeRGB,resnet,bing,40_60,0.085
271,SplitMergeRGB,resnet,bing,50_50,0.085
272,SplitMergeRGB,vgg,bing,20_80,0.085
273,SplitMergeRGB,vgg,bing,30_70,0.085
274,SplitMergeRGB,vgg,bing,40_60,0.085
275,SplitMergeRGB,vgg,bing,50_50,0.085
276,SplitMergeRGB,alexnet,google,20_80,0.085
277,SplitMergeRGB,alexnet,google,30_70,0.085
278,SplitMergeRGB,alexnet,google,40_60,0.085
279,SplitMergeRGB,alexnet,google,50_50,0.085
280,SplitMergeRGB,resnet,google,20_80,0.085
281,SplitMergeRGB,resnet,google,30_70,0.085
282,SplitMergeRGB,resnet,google,40_60,0.085
283,SplitMergeRGB,resnet,google,50_50,0.085
284,SplitMergeRGB,vgg,google,20_80,0.085
285,SplitMergeRGB,vgg,google,30_70,0.085
286,SplitMergeRGB,vgg,google,40_60,0.085
287,SplitMergeRGB,vgg,google,50_50,0.085
